time,NAO,BLO,EOF3,EOF4,EOF5,EOF6,EOF7,EOF8,EOF9,EOF10
1979-04-06 12:00:00,-1.4316941,0.33026418,-0.180733,-1.576279,0.3999504,-0.10259026,0.22434242,0.6183426,0.28681132,-0.12770626
1979-04-07 12:00:00,-1.8883022,0.36072403,-0.49674854,-1.3908193,0.58747977,-0.6444865,-0.0754757,0.48742735,0.9530658,0.41508245
1979-04-08 12:00:00,-2.2516348,0.266612,-0.9707029,-0.92542714,0.16458029,-1.3367647,-0.5061203,0.22383377,0.73654985,1.3806711
1979-04-09 12:00:00,-2.088091,-0.1259043,-1.4228255,-0.795445,-0.27460554,-1.6670827,0.09037485,0.96870524,0.09213975,0.9466019
1979-04-10 12:00:00,-1.8198348,-0.4093895,-1.7798862,-1.3354106,-1.2930065,-1.8665651,0.88819164,0.9436545,0.042407613,-0.4105933
1979-04-11 12:00:00,-1.9991455,-0.4022684,-2.1654773,-0.9420005,-1.7086157,-1.3351771,0.66962326,0.92314875,-0.080387115,-0.5666737
1979-04-12 12:00:00,-1.9780959,-0.4709407,-2.7711973,0.06122136,-1.532322,-0.49245653,0.23888119,1.0435219,0.0063949423,-0.51198
1979-04-13 12:00:00,-1.7570916,-0.6253702,-2.39834,1.0763023,-1.2748169,-0.054039504,-0.7369247,0.41691902,-0.9443041,-0.5215625
1979-04-14 12:00:00,-1.6337726,-0.1764896,-1.4126302,1.937512,-0.44884855,0.5939988,-0.9699951,0.4730481,-1.2469124,-1.492916
1979-04-15 12:00:00,-1.3593247,0.4179888,-0.9045659,2.439424,0.6786989,0.39467704,-0.5774982,0.5268036,0.7348839,-1.8281568
1979-04-16 12:00:00,-1.096767,0.6112666,-0.39035174,1.6393329,1.2478803,0.33823165,-0.41531238,0.64863217,1.3383038,-2.1611757
1979-04-17 12:00:00,-0.9290446,0.6995573,0.3962073,1.0901265,1.2545972,0.65248615,-1.0609105,0.8337716,1.5320246,-2.047497
1979-04-18 12:00:00,-0.6027758,0.6618496,0.6990725,1.0125667,0.60459447,0.7148113,-0.9901159,0.5703869,2.367753,-1.3670142
1979-04-19 12:00:00,-0.48392418,0.15650845,0.92432,0.62795705,0.23172373,0.4390191,-1.3555255,0.96879923,2.811423,-0.16952722
1979-04-20 12:00:00,-0.4075487,-0.23742229,1.1743296,0.3397157,-0.0021257235,1.060371,-1.4676167,1.0859481,2.4957216,0.15808201
1979-04-21 12:00:00,-0.09511056,-0.5036474,1.2430171,0.20470351,-0.22607297,1.8951051,-1.2160963,0.37358788,1.4961085,0.14977743
1979-04-22 12:00:00,0.61446995,-0.81969,0.9586484,-0.15638092,-0.3802453,1.9413816,-0.20464168,-0.13450143,0.9939036,0.19876131
1979-04-23 12:00:00,0.4078629,-1.1911201,1.1128862,-1.0586526,0.027112227,1.1063495,-0.027059162,-0.7348624,-0.1736207,1.6541473
1979-04-24 12:00:00,0.22764647,-0.5467795,1.2529451,-0.7464529,0.46115655,1.3492742,-1.1672868,-0.9892675,-1.3096128,1.4984422
1979-04-25 12:00:00,0.10643869,0.16149633,0.7956509,-0.123224966,0.22747657,1.8028811,-1.8894292,-0.86134374,-2.0003133,0.6558857
1979-04-26 12:00:00,-0.05875275,0.80882925,0.6493857,-0.1300487,-1.0087928,1.3695388,-1.6222763,-0.8789174,-1.8362147,0.15910152
1979-04-27 12:00:00,-0.30248648,0.9520678,1.3121438,-0.2278979,-1.6264073,0.4309733,-1.1820104,-0.6697342,-1.3503919,0.40820292
1979-04-28 12:00:00,-0.718543,0.116319396,2.0157895,0.051399592,-2.2836254,-0.13472012,-1.4646809,-0.45699498,-0.72760504,-0.35079762
1979-04-29 12:00:00,-0.9944575,-1.1178033,1.8859934,0.13733184,-2.0655835,-0.0733501,-1.0905013,0.4750134,-0.7435293,-0.20441455
1979-04-30 12:00:00,-1.2679324,-1.8485954,1.6882931,-0.004538725,-1.4248866,0.4850142,-0.9314929,0.4126697,-0.47372177,0.17283794
1979-05-01 12:00:00,-1.4597386,-2.0703228,1.0948986,-0.38206258,-0.7715646,0.65224206,-0.88548356,0.74092114,-0.02430468,0.8374242
1979-05-02 12:00:00,-1.381418,-2.0396523,0.6958564,-0.4205043,-0.21333098,0.37512794,-1.507628,0.17518969,-0.27712813,0.31446916
1979-05-03 12:00:00,-1.0043043,-1.5894613,0.1828208,-0.5119741,0.12685154,0.87820286,-2.2517312,0.04768437,-0.58551157,1.1656293
1979-05-04 12:00:00,-1.0208755,-0.9627408,0.14749146,-0.45012298,0.24043235,0.8659101,-1.5042877,0.61333287,-1.0418385,1.4615095
1979-05-05 12:00:00,-1.2274098,-0.8400825,0.27164394,-0.13932148,0.75401586,-0.22207111,-0.9284107,1.0032132,-0.73012245,0.305656
1979-05-06 12:00:00,-1.1659231,-0.8382321,0.0051678414,0.20214279,1.2426223,-0.25073397,-1.2343929,1.016161,-0.37303975,-0.5798831
1979-05-07 12:00:00,-0.8968555,-0.99715954,-0.30643386,0.6811392,0.78589493,0.63105464,-1.585854,0.72473633,-1.0492766,-0.44696176
1979-05-08 12:00:00,-0.5806645,-0.7108233,-0.30847052,1.1279553,-0.15717295,0.749269,-1.8753061,0.572015,-1.7336181,-0.24608685
1979-05-09 12:00:00,-0.23048335,-0.30393204,-0.012513282,1.2002898,-0.5788022,0.6411148,-1.9229903,0.92904943,-1.8497328,-0.28871268
